concept_id,fsn,preferred_term,subspecialty,method_id,method,site_id,procedure_site,approach_id,surgical_approach,device_id,device,morphology_id,morphology,default_intent_id,laterality_applicable,revision_applicable,level_applicable,level_kind,level_regions,active,inactivation_reason,replaced_by,effective_from,effective_to,catalogue_release
NSX-00090,Endovascular coil occlusion of intracranial aneurysm (procedure),Aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0016,Cerebral artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00091,Flow diverter stent placement for intracranial aneurysm (procedure),Flow diverter placement,endovascular,MTH-0007,Insertion,SIT-0016,Cerebral artery,APP-0021,Endovascular,DEV-0021,Flow diverter stent,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00092,Embolisation of cerebral arteriovenous malformation (procedure),AVM embolisation,endovascular,MTH-0014,Occlusion,SIT-0016,Cerebral artery,APP-0021,Endovascular,DEV-0023,Liquid embolic agent,MOR-0016,Arteriovenous malformation,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00093,Embolisation of dural arteriovenous fistula (procedure),Dural AVF embolisation,endovascular,MTH-0014,Occlusion,SIT-0016,Cerebral artery,APP-0021,Endovascular,DEV-0023,Liquid embolic agent,MOR-0040,Dural arteriovenous fistula,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00094,Stent placement in extracranial carotid artery (procedure),Carotid artery stenting,endovascular,MTH-0007,Insertion,SIT-0035,Internal carotid artery,APP-0021,Endovascular,DEV-0022,Intraluminal arterial stent,MOR-0039,Carotid artery stenosis,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00095,Cerebral venous sinus stenting with venous manometry (procedure),Venous sinus stenting,endovascular,MTH-0007,Insertion,SIT-0046,Cerebral venous sinus,APP-0021,Endovascular,DEV-0022,Intraluminal arterial stent,MOR-0044,Idiopathic intracranial hypertension,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00096,Mechanical thrombectomy for acute ischaemic stroke (procedure),Mechanical thrombectomy,endovascular,MTH-0008,Removal,SIT-0016,Cerebral artery,APP-0021,Endovascular,,,MOR-0046,Acute ischaemic stroke,INT-0001,1,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00097,Transforaminal epidural steroid injection (procedure),Transforaminal epidural steroid injection,pain,MTH-0024,Injection,SIT-0045,Intervertebral foramen,APP-0017,Transforaminal,,,MOR-0041,Lumbar radiculopathy,INT-0001,1,0,1,interspace,"cervical,thoracic,lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00098,Interlaminar epidural steroid injection (procedure),Interlaminar epidural steroid injection,pain,MTH-0024,Injection,SIT-0026,Spinal epidural space,APP-0018,Percutaneous,,,MOR-0041,Lumbar radiculopathy,INT-0001,0,0,1,interspace,"cervical,thoracic,lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00099,Caudal epidural steroid injection (procedure),Caudal epidural steroid injection,pain,MTH-0024,Injection,SIT-0026,Spinal epidural space,APP-0018,Percutaneous,,,MOR-0041,Lumbar radiculopathy,INT-0001,0,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00100,Zygapophyseal joint medial branch block (procedure),Facet joint block,pain,MTH-0024,Injection,SIT-0043,Zygapophyseal joint,APP-0018,Percutaneous,,,MOR-0042,Facet joint arthropathy,INT-0001,1,0,1,interspace,"cervical,thoracic,lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00101,Sacroiliac joint injection (procedure),Sacroiliac joint injection,pain,MTH-0024,Injection,SIT-0044,Sacroiliac joint,APP-0018,Percutaneous,,,MOR-0043,Sacroiliac joint dysfunction,INT-0001,1,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00102,Erector spinae plane block (procedure),Erector spinae plane block,pain,MTH-0024,Injection,SIT-0026,Spinal epidural space,APP-0018,Percutaneous,,,,,INT-0001,1,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00103,Peripheral nerve steroid injection (procedure),Peripheral nerve steroid injection,pain,MTH-0024,Injection,SIT-0028,Peripheral nerve,APP-0018,Percutaneous,,,MOR-0036,Entrapment neuropathy,INT-0001,1,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00104,Full-endoscopic transforaminal lumbar discectomy (procedure),Endoscopic transforaminal lumbar discectomy,spine-degenerative,MTH-0001,Excision,SIT-0025,Intervertebral disc,APP-0023,Full-endoscopic transforaminal,,,MOR-0021,Herniated intervertebral disc,INT-0001,1,1,1,interspace,"lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00105,Full-endoscopic interlaminar lumbar discectomy (procedure),Endoscopic interlaminar lumbar discectomy,spine-degenerative,MTH-0001,Excision,SIT-0025,Intervertebral disc,APP-0022,Full-endoscopic interlaminar,,,MOR-0021,Herniated intervertebral disc,INT-0001,1,1,1,interspace,"lumbar,lumbosacral",1,,,2026-08-07,,v2026.1
NSX-00106,Lumbar puncture with measurement of opening pressure (procedure),Lumbar puncture with manometry,cranial-csf,MTH-0025,Puncture,SIT-0032,Lumbar subarachnoid space,APP-0018,Percutaneous,,,MOR-0028,Hydrocephalus,INT-0002,0,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00107,Insertion of intrathecal baclofen infusion pump (procedure),Intrathecal baclofen pump insertion,pain,MTH-0007,Insertion,SIT-0032,Lumbar subarachnoid space,APP-0019,Open direct exposure,DEV-0024,Intrathecal drug delivery pump,MOR-0045,Spasticity,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00108,Refill of intrathecal baclofen infusion pump (procedure),Intrathecal baclofen pump refill,pain,MTH-0024,Injection,SIT-0032,Lumbar subarachnoid space,APP-0018,Percutaneous,DEV-0024,Intrathecal drug delivery pump,MOR-0045,Spasticity,INT-0001,0,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00109,Tracheostomy (procedure),Tracheostomy,cranial-trauma,MTH-0004,Incision,SIT-0047,Trachea,APP-0019,Open direct exposure,DEV-0025,Tracheostomy tube,,,INT-0001,0,0,0,,,1,,,2026-08-07,,v2026.1
NSX-00110,Stent placement in intracranial artery (procedure),Intracranial arterial stenting,endovascular,MTH-0007,Insertion,SIT-0016,Cerebral artery,APP-0021,Endovascular,DEV-0022,Intraluminal arterial stent,MOR-0047,Intracranial arterial stenosis,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00111,Endovascular coil occlusion of anterior communicating artery aneurysm (procedure),ACoA aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0033,Anterior communicating artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00112,Endovascular coil occlusion of posterior communicating artery aneurysm (procedure),PCoA aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0034,Posterior communicating artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00113,Endovascular coil occlusion of internal carotid artery aneurysm (procedure),ICA aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0035,Internal carotid artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00114,Endovascular coil occlusion of middle cerebral artery aneurysm (procedure),MCA aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0036,Middle cerebral artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00115,Endovascular coil occlusion of anterior cerebral artery aneurysm (procedure),ACA aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0037,Anterior cerebral artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00116,Endovascular coil occlusion of basilar artery aneurysm (procedure),basilar aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0038,Basilar artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00117,Endovascular coil occlusion of posterior inferior cerebellar artery aneurysm (procedure),PICA aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0039,Posterior inferior cerebellar artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00118,Endovascular coil occlusion of vertebral artery aneurysm (procedure),VA aneurysm coiling,endovascular,MTH-0014,Occlusion,SIT-0040,Vertebral artery,APP-0021,Endovascular,DEV-0020,Endovascular coil,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00119,Intrasaccular flow disruptor placement in intracranial aneurysm (procedure),Aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0016,Cerebral artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00120,Intrasaccular flow disruptor placement in anterior communicating artery aneurysm (procedure),ACoA aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0033,Anterior communicating artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00121,Intrasaccular flow disruptor placement in posterior communicating artery aneurysm (procedure),PCoA aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0034,Posterior communicating artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00122,Intrasaccular flow disruptor placement in internal carotid artery aneurysm (procedure),ICA aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0035,Internal carotid artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00123,Intrasaccular flow disruptor placement in middle cerebral artery aneurysm (procedure),MCA aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0036,Middle cerebral artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00124,Intrasaccular flow disruptor placement in anterior cerebral artery aneurysm (procedure),ACA aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0037,Anterior cerebral artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00125,Intrasaccular flow disruptor placement in basilar artery aneurysm (procedure),basilar aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0038,Basilar artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,0,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00126,Intrasaccular flow disruptor placement in posterior inferior cerebellar artery aneurysm (procedure),PICA aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0039,Posterior inferior cerebellar artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
NSX-00127,Intrasaccular flow disruptor placement in vertebral artery aneurysm (procedure),VA aneurysm intrasaccular device,endovascular,MTH-0014,Occlusion,SIT-0040,Vertebral artery,APP-0021,Endovascular,DEV-0026,Intrasaccular flow disruptor,MOR-0015,Saccular aneurysm,INT-0001,1,1,0,,,1,,,2026-08-07,,v2026.1
